Position,Country/territory,"Share 2019","Share 2020","Count 2020","Change in Adjusted Share 2019-2020"
158,Micronesia,0.0024868,0.0931834,3,35.128
159,Libya,0.337535,0.0774194,2,-0.779
160,Reunion,0.05,0.0769231,1,0.483
161,Togo,0.0975116,0.0625,1,-0.382
161,Lesotho,0,0.0625,1,0
162,"Central African Republic",0,0.059434,2,0
163,"El Salvador",0,0.0588235,1,0
164,Maldives,0.175,0.0478771,2,-0.736
165,Jamaica,0.7018822,0.0342782,3,-0.953
166,Suriname,0.0689189,0.0335339,2,-0.531
167,Liberia,0.0015015,0.0327267,2,20.015
168,"Netherlands Antilles",0,0.0181818,1,0
169,Kiribati,0,0.0081301,1,0
169,Guadeloupe,0,0.0081301,1,0
169,"Saint Vincent and The Grenadines",0,0.0081301,1,0
170,"Cook Islands",0,0.004065,1,0
171,Yemen,0.1552085,0.0027408,2,-0.983
172,Barbados,0.0798299,0.0022523,1,-0.973
173,"Cape Verde",0.0008658,0.0011261,1,0.254
173,"Solomon Islands",0.0017316,0.0011261,1,-0.373
174,Bahrain,0.0334877,0.0010764,1,-0.969
175,Chad,0.0078125,0,0,0
175,Syria,1,0,0,0
175,Tonga,0.0008658,0,0,0
175,Kosovo,0.0133991,0,0,0
175,Andorra,0.0555556,0,0,0
175,Eritrea,0.0833333,0,0,0
175,Mauritania,0.1666667,0,0,0
175,"San Marino",0.0144928,0,0,0
175,Afghanistan,0.1514042,0,0,0
175,"Equatorial Guinea",0.3076923,0,0,0
175,"Saint Kitts and Nevis",0.125,0,0,0
